Reporting_Economy,ProductSector,Partner_Economy,2016,2017,2018,2019,2020,2021,2022
Algeria,SI3_AGG - MAMTTE - Transport equipment,World,2,21,21,21,40,22,
Algeria,SI3_AGG - MAMTAU - Automotive products,World,0,0,7,6,7,18,
Algeria,SI3_AGG - MATE - Textiles,World,1,1,3,7,21,10,
Algeria,SI3_AGG - MACL - Clothing,World,0,0,0,0,4,3,
American Samoa,SI3_AGG - TO - Total merchandise,World,388,397,377,353,399,317,302
Andean Community (ANDEAN),SI3_AGG - TO - Total merchandise,World,92152,107319,120386,117019,97978,137664,161986
Andorra,SI3_AGG - TO - Total merchandise,World,97,118,129,126,117,148,165
Angola,SI3_AGG - TO - Total merchandise,World,27589,34613,40758,34726,20937,33581,47560
Angola,SI3_AGG - AG - Agricultural products,World,235,239,288,132,133,94,
Angola,SI3_AGG - AGFO - Food,World,170,147,143,112,115,93,
Angola,SI3_AGG - MI - Fuels and mining products,World,26574,33909,38769,34298,20607,33212,
Angola,SI3_AGG - MIFU - Fuels,World,25580,32761,37565,33068,19488,31602,
Angola,SI3_AGG - MA - Manufactures,World,779,465,1699,295,196,275,
Angola,SI3_AGG - MAIS - Iron and steel,World,50,28,22,18,11,22,
Angola,SI3_AGG - MACH - Chemicals,World,15,19,17,13,9,6,
Angola,SI3_AGG - MACHPH - Pharmaceuticals,World,0,0,0,0,0,0,
Angola,SI3_AGG - MAMT - Machinery and transport equipment,World,455,270,1550,183,116,102,
Angola,SI3_AGG - MAMTOF - Office and telecom equipment,World,8,7,6,3,2,4,
Angola,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,3,2,2,1,1,1,
Angola,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,5,4,3,1,1,2,
Angola,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,1,1,0,0,0,
Angola,SI3_AGG - MAMTTE - Transport equipment,World,154,35,1364,48,36,20,
Angola,SI3_AGG - MAMTAU - Automotive products,World,23,13,6,10,6,6,
Angola,SI3_AGG - MATE - Textiles,World,2,2,1,1,1,1,
Angola,SI3_AGG - MACL - Clothing,World,1,0,0,0,0,0,
Anguilla,SI3_AGG - TO - Total merchandise,World,7,11,12,12,11,14,16
Antigua and Barbuda,SI3_AGG - TO - Total merchandise,World,61,21,26,38,22,19,18
Antigua and Barbuda,SI3_AGG - AG - Agricultural products,World,1,5,6,5,2,3,
Antigua and Barbuda,SI3_AGG - AGFO - Food,World,1,5,6,5,2,3,
Antigua and Barbuda,SI3_AGG - MI - Fuels and mining products,World,1,0,1,4,3,12,
Antigua and Barbuda,SI3_AGG - MIFU - Fuels,World,1,0,1,4,3,11,
Antigua and Barbuda,SI3_AGG - MA - Manufactures,World,59,15,10,8,6,4,
Antigua and Barbuda,SI3_AGG - MAIS - Iron and steel,World,0,1,1,0,0,0,
Antigua and Barbuda,SI3_AGG - MACH - Chemicals,World,0,1,0,0,0,0,
Antigua and Barbuda,SI3_AGG - MACHPH - Pharmaceuticals,World,0,0,0,0,0,0,
Antigua and Barbuda,SI3_AGG - MAMT - Machinery and transport equipment,World,42,4,2,2,2,1,
Antigua and Barbuda,SI3_AGG - MAMTOF - Office and telecom equipment,World,0,1,0,0,0,0,
Antigua and Barbuda,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,0,0,0,0,0,0,
Antigua and Barbuda,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,0,0,0,0,0,0,
Antigua and Barbuda,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,0,0,0,
Antigua and Barbuda,SI3_AGG - MAMTTE - Transport equipment,World,39,7,1,1,1,1,
Antigua and Barbuda,SI3_AGG - MAMTAU - Automotive products,World,1,1,1,1,1,0,
Antigua and Barbuda,SI3_AGG - MATE - Textiles,World,11,1,0,0,0,0,
Antigua and Barbuda,SI3_AGG - MACL - Clothing,World,1,1,2,1,1,0,
Argentina,SI3_AGG - TO - Total merchandise,World,57910,58644,61781,65116,54884,77935,88445
Argentina,SI3_AGG - AG - Agricultural products,World,36995,35574,34341,38999,36093,42673,
Argentina,SI3_AGG - AGFO - Food,World,36379,34928,33520,38265,35612,42091,
Argentina,SI3_AGG - MI - Fuels and mining products,World,3306,3489,2829,2629,1590,2103,
Argentina,SI3_AGG - MIFU - Fuels,World,1445,1626,2536,2343,1470,2060,
Argentina,SI3_AGG - MA - Manufactures,World,14831,16148,11988,10788,7923,10563,
Argentina,SI3_AGG - MAIS - Iron and steel,World,414,634,48,54,37,8,
Argentina,SI3_AGG - MACH - Chemicals,World,5616,5501,4284,3549,3097,3952,
Argentina,SI3_AGG - MACHPH - Pharmaceuticals,World,1029,889,722,721,708,811,
Argentina,SI3_AGG - MAMT - Machinery and transport equipment,World,6633,7698,5796,5302,3558,5410,
Argentina,SI3_AGG - MAMTOF - Office and telecom equipment,World,53,68,39,47,38,22,
Argentina,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,15,16,16,13,7,6,
Argentina,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,35,49,22,29,27,13,
Argentina,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,2,3,2,5,4,3,
Argentina,SI3_AGG - MAMTTE - Transport equipment,World,5662,6709,5142,4630,3027,4996,
Argentina,SI3_AGG - MAMTAU - Automotive products,World,5174,5950,4987,4451,2918,4892,
Argentina,SI3_AGG - MATE - Textiles,World,112,114,105,99,64,70,
Argentina,SI3_AGG - MACL - Clothing,World,38,39,27,30,21,29,
Armenia,SI3_AGG - TO - Total merchandise,World,1792,2245,2412,2640,2544,3023,5360
Armenia,SI3_AGG - AG - Agricultural products,World,517,625,670,775,706,871,
Armenia,SI3_AGG - AGFO - Food,World,508,614,660,767,699,862,
Armenia,SI3_AGG - MI - Fuels and mining products,World,631,863,819,938,872,1154,
Armenia,SI3_AGG - MIFU - Fuels,World,61,72,81,69,68,51,
Armenia,SI3_AGG - MA - Manufactures,World,501,505,710,673,506,806,
Armenia,SI3_AGG - MAIS - Iron and steel,World,66,85,127,143,88,200,
Armenia,SI3_AGG - MACH - Chemicals,World,26,37,36,37,35,48,
Armenia,SI3_AGG - MACHPH - Pharmaceuticals,World,15,22,21,23,16,20,
Armenia,SI3_AGG - MAMT - Machinery and transport equipment,World,41,52,68,81,53,94,
Armenia,SI3_AGG - MAMTOF - Office and telecom equipment,World,3,7,9,11,12,17,
Armenia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1,1,5,4,4,5,
Armenia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,2,3,3,2,6,8,
Armenia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,1,4,2,5,3,4,
Armenia,SI3_AGG - MAMTTE - Transport equipment,World,14,14,27,30,15,40,
Armenia,SI3_AGG - MAMTAU - Automotive products,World,13,13,22,23,13,35,
Armenia,SI3_AGG - MATE - Textiles,World,4,3,14,3,4,4,
Armenia,SI3_AGG - MACL - Clothing,World,93,127,217,169,123,183,
"Aruba, the Netherlands with respect to",SI3_AGG - TO - Total merchandise,World,284,135,194,131,87,123,235
"Aruba, the Netherlands with respect to",SI3_AGG - AG - Agricultural products,World,48,39,29,37,33,57,
"Aruba, the Netherlands with respect to",SI3_AGG - AGFO - Food,World,48,39,29,36,33,57,
"Aruba, the Netherlands with respect to",SI3_AGG - MI - Fuels and mining products,World,187,60,130,54,27,43,
"Aruba, the Netherlands with respect to",SI3_AGG - MIFU - Fuels,World,186,45,125,50,25,40,
"Aruba, the Netherlands with respect to",SI3_AGG - MA - Manufactures,World,31,31,31,38,26,24,
