Reporting_Economy,ProductSector,Partner_Economy,2016,2017,2018,2019,2020,2021,2022
Ecuador,SI3_AGG - MAMTOF - Office and telecom equipment,World,60,62,19,11,11,13,
Ecuador,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,5,14,12,7,7,7,
Ecuador,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,54,46,6,4,4,4,
Ecuador,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,2,1,1,1,1,
Ecuador,SI3_AGG - MAMTTE - Transport equipment,World,101,86,119,91,81,40,
Ecuador,SI3_AGG - MAMTAU - Automotive products,World,26,24,35,38,30,9,
Ecuador,SI3_AGG - MATE - Textiles,World,76,66,68,59,59,85,
Ecuador,SI3_AGG - MACL - Clothing,World,30,24,30,35,25,33,
Egypt,SI3_AGG - TO - Total merchandise,World,25468,25604,27624,29000,27078,40798,49277
Egypt,SI3_AGG - AG - Agricultural products,World,5182,5124,5150,5592,5311,6415,
Egypt,SI3_AGG - AGFO - Food,World,4652,4654,4656,5073,4846,5829,
Egypt,SI3_AGG - MI - Fuels and mining products,World,4004,6136,8404,9156,5748,14637,
Egypt,SI3_AGG - MIFU - Fuels,World,3162,5116,7243,8115,4724,13164,
Egypt,SI3_AGG - MA - Manufactures,World,11122,13064,14066,13833,12831,18546,
Egypt,SI3_AGG - MAIS - Iron and steel,World,525,875,1060,696,699,1726,
Egypt,SI3_AGG - MACH - Chemicals,World,3447,4527,5488,5267,4683,6282,
Egypt,SI3_AGG - MACHPH - Pharmaceuticals,World,294,280,247,272,268,314,
Egypt,SI3_AGG - MAMT - Machinery and transport equipment,World,1851,2045,1807,1925,1872,2940,
Egypt,SI3_AGG - MAMTOF - Office and telecom equipment,World,648,775,709,879,792,1173,
Egypt,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1,1,0,1,10,15,
Egypt,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,642,764,699,860,762,1138,
Egypt,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,5,10,9,18,20,20,
Egypt,SI3_AGG - MAMTTE - Transport equipment,World,137,110,109,78,117,181,
Egypt,SI3_AGG - MAMTAU - Automotive products,World,127,106,105,72,84,51,
Egypt,SI3_AGG - MATE - Textiles,World,1221,1279,1379,1293,1249,1606,
Egypt,SI3_AGG - MACL - Clothing,World,1284,1463,1616,1704,1357,1968,
El Salvador,SI3_AGG - TO - Total merchandise,World,5420,5760,5905,5905,4805,6395,7115
El Salvador,SI3_AGG - AG - Agricultural products,World,1027,1125,1083,1158,1128,1304,
El Salvador,SI3_AGG - AGFO - Food,World,984,1079,1040,1111,1085,1250,
El Salvador,SI3_AGG - MI - Fuels and mining products,World,216,249,284,262,204,326,
El Salvador,SI3_AGG - MIFU - Fuels,World,155,183,209,199,157,253,
El Salvador,SI3_AGG - MA - Manufactures,World,4167,4379,4534,4480,3692,4996,
El Salvador,SI3_AGG - MAIS - Iron and steel,World,133,151,172,149,126,201,
El Salvador,SI3_AGG - MACH - Chemicals,World,380,394,387,444,474,605,
El Salvador,SI3_AGG - MACHPH - Pharmaceuticals,World,139,140,143,170,182,209,
El Salvador,SI3_AGG - MAMT - Machinery and transport equipment,World,303,371,424,344,309,437,
El Salvador,SI3_AGG - MAMTOF - Office and telecom equipment,World,12,15,17,20,19,30,
El Salvador,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,6,5,4,5,3,6,
El Salvador,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,5,3,3,5,3,5,
El Salvador,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,1,8,10,10,13,19,
El Salvador,SI3_AGG - MAMTTE - Transport equipment,World,16,14,16,15,25,23,
El Salvador,SI3_AGG - MAMTAU - Automotive products,World,14,11,12,11,15,18,
El Salvador,SI3_AGG - MATE - Textiles,World,383,424,446,470,399,502,
El Salvador,SI3_AGG - MACL - Clothing,World,2134,2188,2243,2137,1524,2149,
Equatorial Guinea,SI3_AGG - TO - Total merchandise,World,4900,5200,6500,5400,3200,5700,8000
Eritrea,SI3_AGG - TO - Total merchandise,World,436,583,669,768,556,600,719
Estonia,SI3_AGG - TO - Total merchandise,World,13171,14559,17017,16101,16340,21520,22360
Estonia,SI3_AGG - AG - Agricultural products,World,2145,2349,2562,2612,2605,3202,
Estonia,SI3_AGG - AGFO - Food,World,1184,1331,1357,1524,1575,1727,
Estonia,SI3_AGG - MI - Fuels and mining products,World,1237,1752,2945,2243,2100,4186,
Estonia,SI3_AGG - MIFU - Fuels,World,1013,1398,2524,1888,1782,3641,
Estonia,SI3_AGG - MA - Manufactures,World,9650,9946,11078,10767,11024,13503,
Estonia,SI3_AGG - MAIS - Iron and steel,World,154,188,217,227,210,316,
Estonia,SI3_AGG - MACH - Chemicals,World,791,970,1081,1038,1131,1348,
Estonia,SI3_AGG - MACHPH - Pharmaceuticals,World,84,94,109,111,109,123,
Estonia,SI3_AGG - MAMT - Machinery and transport equipment,World,4660,4726,5177,4990,5163,6341,
Estonia,SI3_AGG - MAMTOF - Office and telecom equipment,World,1690,1372,1490,1255,1588,2134,
Estonia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,79,85,89,96,103,169,
Estonia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,1542,1228,1331,1094,1410,1911,
Estonia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,69,59,70,66,74,55,
Estonia,SI3_AGG - MAMTTE - Transport equipment,World,975,962,1020,1120,1004,1359,
Estonia,SI3_AGG - MAMTAU - Automotive products,World,557,633,780,853,760,1017,
Estonia,SI3_AGG - MATE - Textiles,World,163,179,188,188,209,236,
Estonia,SI3_AGG - MACL - Clothing,World,214,238,253,237,207,227,
Eswatini,SI3_AGG - TO - Total merchandise,World,1633,1801,1842,2002,1752,2068,2076
Eswatini,SI3_AGG - AG - Agricultural products,World,575,541,581,681,633,744,
Eswatini,SI3_AGG - AGFO - Food,World,482,440,479,574,540,608,
Eswatini,SI3_AGG - MI - Fuels and mining products,World,17,25,23,21,23,30,
Eswatini,SI3_AGG - MIFU - Fuels,World,15,21,18,17,20,24,
Eswatini,SI3_AGG - MA - Manufactures,World,1040,1235,1237,1299,1095,1285,
Eswatini,SI3_AGG - MAIS - Iron and steel,World,0,0,0,0,0,0,
Eswatini,SI3_AGG - MACH - Chemicals,World,823,940,909,974,826,956,
Eswatini,SI3_AGG - MACHPH - Pharmaceuticals,World,3,1,1,1,1,1,
Eswatini,SI3_AGG - MAMT - Machinery and transport equipment,World,22,28,47,42,36,33,
Eswatini,SI3_AGG - MAMTOF - Office and telecom equipment,World,1,2,12,2,1,1,
Eswatini,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1,1,3,1,0,1,
Eswatini,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,0,1,8,1,1,0,
Eswatini,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,0,0,0,
Eswatini,SI3_AGG - MAMTTE - Transport equipment,World,4,6,8,12,9,5,
Eswatini,SI3_AGG - MAMTAU - Automotive products,World,3,4,7,7,7,3,
Eswatini,SI3_AGG - MATE - Textiles,World,32,34,37,37,31,38,
Eswatini,SI3_AGG - MACL - Clothing,World,162,188,194,203,168,223,
Ethiopia,SI3_AGG - TO - Total merchandise,World,2789,3022,2704,2741,3258,3949,3941
Ethiopia,SI3_AGG - AG - Agricultural products,World,2265,2451,2117,2329,2676,3053,
Ethiopia,SI3_AGG - AGFO - Food,World,2032,2199,1870,1956,2209,2516,
Ethiopia,SI3_AGG - MI - Fuels and mining products,World,9,11,14,10,9,11,
Ethiopia,SI3_AGG - MIFU - Fuels,World,0,0,0,0,0,0,
Ethiopia,SI3_AGG - MA - Manufactures,World,241,314,327,329,253,262,
Ethiopia,SI3_AGG - MAIS - Iron and steel,World,1,0,0,0,0,0,
Ethiopia,SI3_AGG - MACH - Chemicals,World,4,6,6,8,8,13,
Ethiopia,SI3_AGG - MACHPH - Pharmaceuticals,World,2,2,1,1,1,2,
Ethiopia,SI3_AGG - MAMT - Machinery and transport equipment,World,20,56,42,21,31,22,
Ethiopia,SI3_AGG - MAMTOF - Office and telecom equipment,World,19,55,41,19,30,20,
Ethiopia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,0,0,0,0,0,1,
Ethiopia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,19,55,41,18,29,19,
Ethiopia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,0,0,0,
Ethiopia,SI3_AGG - MAMTTE - Transport equipment,World,0,0,0,1,0,0,
Ethiopia,SI3_AGG - MAMTAU - Automotive products,World,0,0,0,0,0,0,
Ethiopia,SI3_AGG - MATE - Textiles,World,24,23,19,21,13,22,
Ethiopia,SI3_AGG - MACL - Clothing,World,58,74,106,164,143,149,
Euro Area (19),SI3_AGG - TO - Total merchandise,World,4162775,4562714,4996095,4836828,4504914,5472228,5893157
Europe,SI3_AGG - TO - Total merchandise,World,5991440,6555260,7180974,6977433,6539684,8006359,8691791
European Free Trade Association (EFTA),SI3_AGG - TO - Total merchandise,World,395746,405535,438096,421955,408359,546286,658926
European Union,SI3_AGG - TO - Total merchandise,World,4969739,5466719,5992950,5825391,5475129,6647139,7147789
European Union,SI3_AGG - TO - Total merchandise,European Union,2904211,3213323,3561033,3439009,3264815,4069376,4444044
European Union,SI3_AGG - TO - Total merchandise,Extra EU Trade,2065528,2253396,2431917,2386382,2210314,2577763,2703745
European Union,SI3_AGG - AG - Agricultural products,World,565947,613072,649875,641761,653377,757902,
European Union,SI3_AGG - AG - Agricultural products,European Union,371827,402595,427463,416146,421255,495327,
European Union,SI3_AGG - AG - Agricultural products,Extra EU Trade,194120,209121,220881,224118,231404,262575,
European Union,SI3_AGG - AGFO - Food,World,489947,531643,560326,557186,572583,649901,
European Union,SI3_AGG - AGFO - Food,European Union,323957,352947,371962,365235,373071,430764,
European Union,SI3_AGG - AGFO - Food,Extra EU Trade,165991,177295,186709,190449,198768,219136,
European Union,SI3_AGG - MI - Fuels and mining products,World,340330,430396,510980,465947,359363,589889,
European Union,SI3_AGG - MI - Fuels and mining products,European Union,219187,272142,324636,298545,232182,392936,
European Union,SI3_AGG - MI - Fuels and mining products,Extra EU Trade,121143,157902,185842,166982,126631,196953,
European Union,SI3_AGG - MIFU - Fuels,World,216520,276078,336805,304446,200608,356838,
European Union,SI3_AGG - MIFU - Fuels,European Union,132631,164174,203320,188619,127412,233538,
European Union,SI3_AGG - MIFU - Fuels,Extra EU Trade,83889,111900,133483,115662,72944,123300,
European Union,SI3_AGG - MA - Manufactures,World,3978903,4342663,4758500,4638726,4373417,5190044,
European Union,SI3_AGG - MA - Manufactures,European Union,2284676,2502433,2777874,2691721,2573362,3117255,
European Union,SI3_AGG - MA - Manufactures,Extra EU Trade,1694227,1835845,1976499,1939770,1792516,2072789,
European Union,SI3_AGG - MAIS - Iron and steel,World,124345,151585,170839,151075,125622,189758,
European Union,SI3_AGG - MAIS - Iron and steel,European Union,89264,110989,126097,109716,93255,148244,
European Union,SI3_AGG - MAIS - Iron and steel,Extra EU Trade,35081,40596,44743,41354,32352,41514,
European Union,SI3_AGG - MACH - Chemicals,World,820184,903122,1019199,1010419,1041174,1262105,
European Union,SI3_AGG - MACH - Chemicals,European Union,453852,500842,574994,552684,569697,719850,
European Union,SI3_AGG - MACH - Chemicals,Extra EU Trade,366332,400164,441646,455361,469551,542255,
European Union,SI3_AGG - MACHPH - Pharmaceuticals,World,305320,336054,387903,410359,461249,534311,
European Union,SI3_AGG - MACHPH - Pharmaceuticals,European Union,141795,152164,183209,183188,215787,255988,
European Union,SI3_AGG - MACHPH - Pharmaceuticals,Extra EU Trade,163525,183891,204693,227164,245553,278323,
European Union,SI3_AGG - MAMT - Machinery and transport equipment,World,1963854,2142418,2322051,2264927,2070435,2379998,
European Union,SI3_AGG - MAMT - Machinery and transport equipment,European Union,1082347,1189421,1308181,1283859,1197063,1389188,
European Union,SI3_AGG - MAMT - Machinery and transport equipment,Extra EU Trade,881507,949904,1011076,975506,867308,990809,
European Union,SI3_AGG - MAMTOF - Office and telecom equipment,World,309724,343960,370354,363828,369021,415764,
European Union,SI3_AGG - MAMTOF - Office and telecom equipment,European Union,205887,232168,252864,246229,252652,291879,
European Union,SI3_AGG - MAMTOF - Office and telecom equipment,Extra EU Trade,103837,111792,117492,117601,116315,123885,
European Union,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,108666,116376,130122,125944,131203,146039,
European Union,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,European Union,76623,82157,92295,88850,94285,109563,
European Union,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,Extra EU Trade,32043,34219,37829,37094,36921,36476,
European Union,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,148158,165565,173308,168939,171047,187649,
European Union,SI3_AGG - MAMTOTTL - Telecommunications equipment,European Union,101376,115406,121909,119238,122885,137942,
European Union,SI3_AGG - MAMTOTTL - Telecommunications equipment,Extra EU Trade,46782,50159,51398,49702,48112,49707,
European Union,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,52900,62019,66924,68946,66771,82077,
European Union,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,European Union,27888,34605,38660,38141,35481,44375,
European Union,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,Extra EU Trade,25011,27414,28265,30805,31281,37702,
European Union,SI3_AGG - MAMTTE - Transport equipment,World,874895,911962,967809,933277,792946,894596,
European Union,SI3_AGG - MAMTTE - Transport equipment,European Union,482655,505498,545362,535576,463140,516169,
European Union,SI3_AGG - MAMTTE - Transport equipment,Extra EU Trade,392240,409140,425681,400988,331137,378427,
European Union,SI3_AGG - MAMTAU - Automotive products,World,632388,683498,727706,701417,613017,687999,
European Union,SI3_AGG - MAMTAU - Automotive products,European Union,368572,404865,443090,433570,379607,424223,
European Union,SI3_AGG - MAMTAU - Automotive products,Extra EU Trade,263816,278633,284615,267847,233901,263776,
European Union,SI3_AGG - MATE - Textiles,World,62828,65877,70651,66671,64725,73573,
European Union,SI3_AGG - MATE - Textiles,European Union,40298,42287,45273,42698,42903,48355,
European Union,SI3_AGG - MATE - Textiles,Extra EU Trade,22530,23556,25342,23946,21795,25218,
European Union,SI3_AGG - MACL - Clothing,World,110836,122347,135592,137515,126054,151012,
European Union,SI3_AGG - MACL - Clothing,European Union,76759,84062,93304,94024,88345,108027,
European Union,SI3_AGG - MACL - Clothing,Extra EU Trade,34077,38285,42288,43494,37672,42985,
Fiji,SI3_AGG - TO - Total merchandise,World,926,956,1041,1033,826,815,1085
Fiji,SI3_AGG - AG - Agricultural products,World,438,492,481,457,389,442,
Fiji,SI3_AGG - AGFO - Food,World,401,479,435,430,354,385,
Fiji,SI3_AGG - MI - Fuels and mining products,World,179,182,217,198,115,101,
Fiji,SI3_AGG - MIFU - Fuels,World,167,172,205,188,106,91,
Fiji,SI3_AGG - MA - Manufactures,World,242,280,249,254,208,209,
Fiji,SI3_AGG - MAIS - Iron and steel,World,4,4,3,3,4,4,
Fiji,SI3_AGG - MACH - Chemicals,World,29,30,33,31,31,37,
Fiji,SI3_AGG - MACHPH - Pharmaceuticals,World,7,9,10,9,11,15,
Fiji,SI3_AGG - MAMT - Machinery and transport equipment,World,75,121,90,108,76,70,
Fiji,SI3_AGG - MAMTOF - Office and telecom equipment,World,31,67,42,58,20,19,
Fiji,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,2,9,14,38,14,3,
Fiji,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,28,58,26,20,6,14,
Fiji,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,1,1,1,1,0,2,
Fiji,SI3_AGG - MAMTTE - Transport equipment,World,20,21,24,26,39,27,
Fiji,SI3_AGG - MAMTAU - Automotive products,World,4,5,5,4,6,4,
Fiji,SI3_AGG - MATE - Textiles,World,7,7,7,6,9,7,
Fiji,SI3_AGG - MACL - Clothing,World,51,46,48,45,34,36,
Finland,SI3_AGG - TO - Total merchandise,World,57908,68073,75869,73468,66220,81996,85614
Finland,SI3_AGG - AG - Agricultural products,World,5994,6910,7834,7235,6490,9045,
Finland,SI3_AGG - AGFO - Food,World,1552,1812,1824,1939,2070,2117,
Finland,SI3_AGG - MI - Fuels and mining products,World,7454,10010,11983,11353,9760,12397,
Finland,SI3_AGG - MIFU - Fuels,World,4636,5715,6910,6924,4907,6042,
Finland,SI3_AGG - MA - Manufactures,World,43148,49966,54939,53762,48659,59089,
Finland,SI3_AGG - MAIS - Iron and steel,World,3925,4637,5643,5678,4172,6248,
Finland,SI3_AGG - MACH - Chemicals,World,5985,6815,7409,6847,7031,9037,
Finland,SI3_AGG - MACHPH - Pharmaceuticals,World,929,849,873,749,952,1236,
Finland,SI3_AGG - MAMT - Machinery and transport equipment,World,17593,22188,23754,24274,22529,26119,
Finland,SI3_AGG - MAMTOF - Office and telecom equipment,World,1457,1684,1800,1708,1497,1920,
Finland,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,353,333,351,419,361,495,
Finland,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,699,842,982,947,872,1044,
Finland,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,405,509,467,343,264,381,
Finland,SI3_AGG - MAMTTE - Transport equipment,World,4619,6954,6933,7839,6478,7949,
Finland,SI3_AGG - MAMTAU - Automotive products,World,2343,4080,4905,4784,4038,4792,
Finland,SI3_AGG - MATE - Textiles,World,288,308,333,319,335,379,
Finland,SI3_AGG - MACL - Clothing,World,301,326,334,310,292,298,
Four East Asian traders,SI3_AGG - TO - Total merchandise,World,1622863,1814254,1922179,1798505,1770998,2219353,2287089
France,SI3_AGG - TO - Total merchandise,World,501179,535298,582222,570951,488637,585021,617817
France,SI3_AGG - AG - Agricultural products,World,68153,72635,77265,75457,73410,86216,
France,SI3_AGG - AGFO - Food,World,62540,66779,71281,69878,68274,79722,
France,SI3_AGG - MI - Fuels and mining products,World,21994,27599,33181,28970,20193,35057,
France,SI3_AGG - MIFU - Fuels,World,12375,16024,20649,17581,10010,19873,
France,SI3_AGG - MA - Manufactures,World,402076,424665,460724,453701,382682,447343,
France,SI3_AGG - MAIS - Iron and steel,World,12183,14722,16030,14000,10643,16502,
France,SI3_AGG - MACH - Chemicals,World,92929,100800,108312,107620,105085,123011,
France,SI3_AGG - MACHPH - Pharmaceuticals,World,31353,32370,34781,36447,38909,40062,
France,SI3_AGG - MAMT - Machinery and transport equipment,World,200031,208949,227000,222145,170878,194064,
France,SI3_AGG - MAMTOF - Office and telecom equipment,World,19555,20670,22538,21292,18526,21414,
France,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,3955,4259,4861,4501,4371,4890,
France,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,7525,8534,8566,7773,6294,7409,
France,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,8074,7876,9111,9018,7860,9115,
France,SI3_AGG - MAMTTE - Transport equipment,World,111255,113574,121484,117608,82126,91210,
France,SI3_AGG - MAMTAU - Automotive products,World,48680,54598,59505,55323,45756,51659,
France,SI3_AGG - MATE - Textiles,World,4684,4748,5074,4776,4364,5092,
France,SI3_AGG - MACL - Clothing,World,10995,11776,13232,13286,11616,13858,
French Polynesia,SI3_AGG - TO - Total merchandise,World,173,153,148,133,72,119,131
French Polynesia,SI3_AGG - AG - Agricultural products,World,34,36,38,39,24,29,
French Polynesia,SI3_AGG - AGFO - Food,World,31,33,35,36,22,28,
French Polynesia,SI3_AGG - MI - Fuels and mining products,World,1,1,1,1,1,1,
French Polynesia,SI3_AGG - MIFU - Fuels,World,0,0,0,0,0,0,
French Polynesia,SI3_AGG - MA - Manufactures,World,137,117,109,93,47,78,
French Polynesia,SI3_AGG - MAIS - Iron and steel,World,0,0,0,0,0,0,
French Polynesia,SI3_AGG - MACH - Chemicals,World,4,5,5,4,4,3,
French Polynesia,SI3_AGG - MACHPH - Pharmaceuticals,World,0,0,0,0,0,0,
French Polynesia,SI3_AGG - MAMT - Machinery and transport equipment,World,90,30,25,41,16,8,
French Polynesia,SI3_AGG - MAMTOF - Office and telecom equipment,World,2,2,1,1,2,1,
French Polynesia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,0,0,0,0,1,0,
French Polynesia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,2,1,1,1,1,1,
French Polynesia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,0,0,0,
French Polynesia,SI3_AGG - MAMTTE - Transport equipment,World,84,25,19,34,11,3,
French Polynesia,SI3_AGG - MAMTAU - Automotive products,World,1,0,1,0,0,0,
French Polynesia,SI3_AGG - MATE - Textiles,World,0,0,0,1,0,0,
French Polynesia,SI3_AGG - MACL - Clothing,World,1,1,1,1,1,0,
G-20,SI3_AGG - TO - Total merchandise,World,12363378,13620492,14941192,14586696,13568598,17082253,18841434
G-7 (Group of Seven),SI3_AGG - TO - Total merchandise,World,5194181,5597172,6033165,5855648,5227507,6325853,6868843
Gabon,SI3_AGG - TO - Total merchandise,World,4296,5164,6231,6722,6222,7598,9200
Gabon,SI3_AGG - AG - Agricultural products,World,320,371,448,385,393,392,
Gabon,SI3_AGG - AGFO - Food,World,8,6,8,10,19,47,
Gabon,SI3_AGG - MI - Fuels and mining products,World,3375,4581,5510,5643,3964,5258,
Gabon,SI3_AGG - MIFU - Fuels,World,3128,3596,4419,4767,2714,4641,
Gabon,SI3_AGG - MA - Manufactures,World,213,196,267,270,258,308,
Gabon,SI3_AGG - MAIS - Iron and steel,World,15,20,40,27,41,27,
Gabon,SI3_AGG - MACH - Chemicals,World,1,2,1,2,0,2,
Gabon,SI3_AGG - MACHPH - Pharmaceuticals,World,0,1,0,0,0,0,
Gabon,SI3_AGG - MAMT - Machinery and transport equipment,World,39,16,46,25,13,13,
Gabon,SI3_AGG - MAMTOF - Office and telecom equipment,World,2,1,1,2,1,1,
Gabon,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1,0,0,0,0,0,
Gabon,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,1,1,1,1,0,1,
Gabon,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,0,0,0,
Gabon,SI3_AGG - MAMTTE - Transport equipment,World,24,5,31,14,8,4,
Gabon,SI3_AGG - MAMTAU - Automotive products,World,2,4,3,1,1,1,
Gabon,SI3_AGG - MATE - Textiles,World,0,0,0,0,0,0,
Gabon,SI3_AGG - MACL - Clothing,World,0,0,0,0,0,0,
The Gambia,SI3_AGG - TO - Total merchandise,World,105,124,140,133,61,33,51
The Gambia,SI3_AGG - AG - Agricultural products,World,26,10,4,9,6,11,
The Gambia,SI3_AGG - AGFO - Food,World,24,9,3,6,6,11,
The Gambia,SI3_AGG - MI - Fuels and mining products,World,1,0,4,12,0,13,
The Gambia,SI3_AGG - MIFU - Fuels,World,0,0,3,12,0,12,
The Gambia,SI3_AGG - MA - Manufactures,World,7,4,4,4,20,3,
The Gambia,SI3_AGG - MAIS - Iron and steel,World,0,0,0,0,0,,
The Gambia,SI3_AGG - MACH - Chemicals,World,0,0,0,0,0,0,
The Gambia,SI3_AGG - MACHPH - Pharmaceuticals,World,0,0,0,0,0,,
The Gambia,SI3_AGG - MAMT - Machinery and transport equipment,World,5,1,0,2,13,2,
The Gambia,SI3_AGG - MAMTOF - Office and telecom equipment,World,0,0,0,0,0,0,
The Gambia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,0,0,0,,0,,
The Gambia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,0,0,0,0,0,0,
The Gambia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,,,0,
The Gambia,SI3_AGG - MAMTTE - Transport equipment,World,1,0,0,1,0,1,
The Gambia,SI3_AGG - MAMTAU - Automotive products,World,0,0,0,1,0,1,
The Gambia,SI3_AGG - MATE - Textiles,World,1,1,3,1,1,0,
The Gambia,SI3_AGG - MACL - Clothing,World,0,0,0,0,0,0,
Georgia,SI3_AGG - TO - Total merchandise,World,2117,2746,3380,3798,3345,4243,5593
Georgia,SI3_AGG - AG - Agricultural products,World,710,798,983,911,952,1159,
Georgia,SI3_AGG - AGFO - Food,World,688,775,959,886,938,1135,
Georgia,SI3_AGG - MI - Fuels and mining products,World,438,597,659,765,909,1054,
Georgia,SI3_AGG - MIFU - Fuels,World,62,109,68,25,16,35,
Georgia,SI3_AGG - MA - Manufactures,World,866,1272,1657,2041,1375,1953,
Georgia,SI3_AGG - MAIS - Iron and steel,World,209,371,419,364,276,526,
Georgia,SI3_AGG - MACH - Chemicals,World,231,293,333,372,273,344,
Georgia,SI3_AGG - MACHPH - Pharmaceuticals,World,120,153,161,183,111,110,
Georgia,SI3_AGG - MAMT - Machinery and transport equipment,World,242,375,610,955,549,703,
Georgia,SI3_AGG - MAMTOF - Office and telecom equipment,World,9,16,15,16,13,64,
Georgia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1,5,6,4,5,27,
Georgia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,8,10,8,8,6,36,
Georgia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,1,1,4,2,1,
Georgia,SI3_AGG - MAMTTE - Transport equipment,World,189,276,483,820,469,515,
Georgia,SI3_AGG - MAMTAU - Automotive products,World,183,271,471,791,434,496,
Georgia,SI3_AGG - MATE - Textiles,World,5,9,16,20,22,39,
Georgia,SI3_AGG - MACL - Clothing,World,80,86,83,107,89,129,
Germany,SI3_AGG - TO - Total merchandise,World,1334355,1448191,1560539,1489412,1382533,1636742,1655480
Germany,SI3_AGG - AG - Agricultural products,World,87482,92637,95284,92588,92813,104151,
Germany,SI3_AGG - AGFO - Food,World,75994,80593,82410,80672,81078,88710,
Germany,SI3_AGG - MI - Fuels and mining products,World,56589,65900,77901,76226,67040,100567,
Germany,SI3_AGG - MIFU - Fuels,World,25545,29291,37479,37724,27676,45538,
Germany,SI3_AGG - MA - Manufactures,World,1160534,1266043,1364823,1296811,1196190,1402278,
Germany,SI3_AGG - MAIS - Iron and steel,World,24443,29150,32049,28488,24390,34150,
Germany,SI3_AGG - MACH - Chemicals,World,211960,235012,256951,243574,246226,303033,
Germany,SI3_AGG - MACHPH - Pharmaceuticals,World,76944,84861,97562,91645,99603,119348,
Germany,SI3_AGG - MAMT - Machinery and transport equipment,World,667345,728284,776022,737267,655269,751630,
Germany,SI3_AGG - MAMTOF - Office and telecom equipment,World,65071,73258,78968,74298,71395,81893,
Germany,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,22395,26922,28968,26394,26356,30842,
Germany,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,24079,24382,26188,26138,25622,26774,
Germany,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,18597,21953,23812,21766,19417,24277,
Germany,SI3_AGG - MAMTTE - Transport equipment,World,336456,342215,350180,327053,273175,313272,
Germany,SI3_AGG - MAMTAU - Automotive products,World,247191,261444,267392,247625,211385,246720,
Germany,SI3_AGG - MATE - Textiles,World,13430,14219,14949,13865,13978,15036,
Germany,SI3_AGG - MACL - Clothing,World,17353,21084,24250,24561,23588,26622,
Ghana,SI3_AGG - TO - Total merchandise,World,11138,13835,14943,15668,14472,14727,17267
Ghana,SI3_AGG - AG - Agricultural products,World,3725,3652,4692,3871,3628,7991,
Ghana,SI3_AGG - AGFO - Food,World,3194,3425,4456,3686,3498,7339,
Ghana,SI3_AGG - MI - Fuels and mining products,World,1586,3919,5712,5826,1968,508,
Ghana,SI3_AGG - MIFU - Fuels,World,1383,3639,5233,5316,1364,60,
